,arrival,date,departure,line,route
955a5ebe-7b9b-11e9-9c29-7831c1d08f6a,08:08:00,2019-01-01,07:30:00,tram24,"['DeBoelelaanVU', 'VUMedischCentrum', 'Amstelveenseweg', 'IJsbaanpad', 'OlympischStadion', 'Olympiaweg', 'Olympiaplein', 'Minervaplein', 'Beethovenstraat', 'GerritvdVeenstraat', 'RoelofHartplein', 'DePijp', 'MarieHeinekenplein', 'Vijzelgracht', 'Muntplein', 'Rokin', 'Dam', 'CentraalStation']"
955a6898-7b9b-11e9-ae6b-7831c1d08f6a,07:48:00,2019-01-01,07:30:00,metro52,"['Noord', 'Noorderpark', 'CentraalStation', 'Rokin', 'Vijzelgracht', 'DePijp', 'Europaplein', 'Zuid']"
955bdb06-7b9b-11e9-9dfd-7831c1d08f6a,07:53:06,2019-01-01,07:35:06,metro52,"['Zuid', 'Europaplein', 'DePijp', 'Vijzelgracht', 'Rokin', 'CentraalStation', 'Noorderpark', 'Noord']"
955c067e-7b9b-11e9-a3ca-7831c1d08f6a,07:54:00,2019-01-01,07:36:00,metro52,"['Noord', 'Noorderpark', 'CentraalStation', 'Rokin', 'Vijzelgracht', 'DePijp', 'Europaplein', 'Zuid']"
955db31e-7b9b-11e9-9738-7831c1d08f6a,08:18:00,2019-01-01,07:40:00,tram24,"['CentraalStation', 'Dam', 'Rokin', 'Muntplein', 'Vijzelgracht', 'MarieHeinekenplein', 'DePijp', 'RoelofHartplein', 'GerritvdVeenstraat', 'Beethovenstraat', 'Minervaplein', 'Olympiaplein', 'Olympiaweg', 'OlympischStadion', 'IJsbaanpad', 'Amstelveenseweg', 'VUMedischCentrum', 'DeBoelelaanVU']"
955dbd66-7b9b-11e9-89b9-7831c1d08f6a,08:18:00,2019-01-01,07:40:00,tram24,"['DeBoelelaanVU', 'VUMedischCentrum', 'Amstelveenseweg', 'IJsbaanpad', 'OlympischStadion', 'Olympiaweg', 'Olympiaplein', 'Minervaplein', 'Beethovenstraat', 'GerritvdVeenstraat', 'RoelofHartplein', 'DePijp', 'MarieHeinekenplein', 'Vijzelgracht', 'Muntplein', 'Rokin', 'Dam', 'CentraalStation']"
955e2774-7b9b-11e9-b140-7831c1d08f6a,07:59:06,2019-01-01,07:41:06,metro52,"['Zuid', 'Europaplein', 'DePijp', 'Vijzelgracht', 'Rokin', 'CentraalStation', 'Noorderpark', 'Noord']"
955e669e-7b9b-11e9-9f77-7831c1d08f6a,08:00:00,2019-01-01,07:42:00,metro52,"['Noord', 'Noorderpark', 'CentraalStation', 'Rokin', 'Vijzelgracht', 'DePijp', 'Europaplein', 'Zuid']"
956020d8-7b9b-11e9-8d2e-7831c1d08f6a,08:05:06,2019-01-01,07:47:06,metro52,"['Zuid', 'Europaplein', 'DePijp', 'Vijzelgracht', 'Rokin', 'CentraalStation', 'Noorderpark', 'Noord']"
9560511e-7b9b-11e9-b1ff-7831c1d08f6a,08:06:00,2019-01-01,07:48:00,metro52,"['Noord', 'Noorderpark', 'CentraalStation', 'Rokin', 'Vijzelgracht', 'DePijp', 'Europaplein', 'Zuid']"
95610430-7b9b-11e9-bd17-7831c1d08f6a,08:28:00,2019-01-01,07:50:00,tram24,"['CentraalStation', 'Dam', 'Rokin', 'Muntplein', 'Vijzelgracht', 'MarieHeinekenplein', 'DePijp', 'RoelofHartplein', 'GerritvdVeenstraat', 'Beethovenstraat', 'Minervaplein', 'Olympiaplein', 'Olympiaweg', 'OlympischStadion', 'IJsbaanpad', 'Amstelveenseweg', 'VUMedischCentrum', 'DeBoelelaanVU']"
956111a8-7b9b-11e9-bbe5-7831c1d08f6a,08:28:00,2019-01-01,07:50:00,tram24,"['DeBoelelaanVU', 'VUMedischCentrum', 'Amstelveenseweg', 'IJsbaanpad', 'OlympischStadion', 'Olympiaweg', 'Olympiaplein', 'Minervaplein', 'Beethovenstraat', 'GerritvdVeenstraat', 'RoelofHartplein', 'DePijp', 'MarieHeinekenplein', 'Vijzelgracht', 'Muntplein', 'Rokin', 'Dam', 'CentraalStation']"
95624bba-7b9b-11e9-9203-7831c1d08f6a,08:11:06,2019-01-01,07:53:06,metro52,"['Zuid', 'Europaplein', 'DePijp', 'Vijzelgracht', 'Rokin', 'CentraalStation', 'Noorderpark', 'Noord']"
9562a068-7b9b-11e9-beb6-7831c1d08f6a,08:12:00,2019-01-01,07:54:00,metro52,"['Noord', 'Noorderpark', 'CentraalStation', 'Rokin', 'Vijzelgracht', 'DePijp', 'Europaplein', 'Zuid']"
95643346-7b9b-11e9-901b-7831c1d08f6a,08:17:06,2019-01-01,07:59:06,metro52,"['Zuid', 'Europaplein', 'DePijp', 'Vijzelgracht', 'Rokin', 'CentraalStation', 'Noorderpark', 'Noord']"
95648038-7b9b-11e9-8780-7831c1d08f6a,08:38:00,2019-01-01,08:00:00,tram24,"['CentraalStation', 'Dam', 'Rokin', 'Muntplein', 'Vijzelgracht', 'MarieHeinekenplein', 'DePijp', 'RoelofHartplein', 'GerritvdVeenstraat', 'Beethovenstraat', 'Minervaplein', 'Olympiaplein', 'Olympiaweg', 'OlympischStadion', 'IJsbaanpad', 'Amstelveenseweg', 'VUMedischCentrum', 'DeBoelelaanVU']"
956489e8-7b9b-11e9-bf39-7831c1d08f6a,08:38:00,2019-01-01,08:00:00,tram24,"['DeBoelelaanVU', 'VUMedischCentrum', 'Amstelveenseweg', 'IJsbaanpad', 'OlympischStadion', 'Olympiaweg', 'Olympiaplein', 'Minervaplein', 'Beethovenstraat', 'GerritvdVeenstraat', 'RoelofHartplein', 'DePijp', 'MarieHeinekenplein', 'Vijzelgracht', 'Muntplein', 'Rokin', 'Dam', 'CentraalStation']"
956492f8-7b9b-11e9-be2f-7831c1d08f6a,08:18:00,2019-01-01,08:00:00,metro52,"['Noord', 'Noorderpark', 'CentraalStation', 'Rokin', 'Vijzelgracht', 'DePijp', 'Europaplein', 'Zuid']"
956699f4-7b9b-11e9-b73e-7831c1d08f6a,08:23:06,2019-01-01,08:05:06,metro52,"['Zuid', 'Europaplein', 'DePijp', 'Vijzelgracht', 'Rokin', 'CentraalStation', 'Noorderpark', 'Noord']"
95671398-7b9b-11e9-b1bd-7831c1d08f6a,08:24:00,2019-01-01,08:06:00,metro52,"['Noord', 'Noorderpark', 'CentraalStation', 'Rokin', 'Vijzelgracht', 'DePijp', 'Europaplein', 'Zuid']"
9568ceb8-7b9b-11e9-a88b-7831c1d08f6a,08:48:00,2019-01-01,08:10:00,tram24,"['CentraalStation', 'Dam', 'Rokin', 'Muntplein', 'Vijzelgracht', 'MarieHeinekenplein', 'DePijp', 'RoelofHartplein', 'GerritvdVeenstraat', 'Beethovenstraat', 'Minervaplein', 'Olympiaplein', 'Olympiaweg', 'OlympischStadion', 'IJsbaanpad', 'Amstelveenseweg', 'VUMedischCentrum', 'DeBoelelaanVU']"
9568de4c-7b9b-11e9-856c-7831c1d08f6a,08:48:00,2019-01-01,08:10:00,tram24,"['DeBoelelaanVU', 'VUMedischCentrum', 'Amstelveenseweg', 'IJsbaanpad', 'OlympischStadion', 'Olympiaweg', 'Olympiaplein', 'Minervaplein', 'Beethovenstraat', 'GerritvdVeenstraat', 'RoelofHartplein', 'DePijp', 'MarieHeinekenplein', 'Vijzelgracht', 'Muntplein', 'Rokin', 'Dam', 'CentraalStation']"
95698de4-7b9b-11e9-8567-7831c1d08f6a,08:29:06,2019-01-01,08:11:06,metro52,"['Zuid', 'Europaplein', 'DePijp', 'Vijzelgracht', 'Rokin', 'CentraalStation', 'Noorderpark', 'Noord']"
956a6dc2-7b9b-11e9-8847-7831c1d08f6a,08:30:00,2019-01-01,08:12:00,metro52,"['Noord', 'Noorderpark', 'CentraalStation', 'Rokin', 'Vijzelgracht', 'DePijp', 'Europaplein', 'Zuid']"
9573c890-7b9b-11e9-a245-7831c1d08f6a,08:35:06,2019-01-01,08:17:06,metro52,"['Zuid', 'Europaplein', 'DePijp', 'Vijzelgracht', 'Rokin', 'CentraalStation', 'Noorderpark', 'Noord']"
9579394c-7b9b-11e9-a578-7831c1d08f6a,08:36:00,2019-01-01,08:18:00,metro52,"['Noord', 'Noorderpark', 'CentraalStation', 'Rokin', 'Vijzelgracht', 'DePijp', 'Europaplein', 'Zuid']"
9582e640-7b9b-11e9-b537-7831c1d08f6a,08:58:00,2019-01-01,08:20:00,tram24,"['CentraalStation', 'Dam', 'Rokin', 'Muntplein', 'Vijzelgracht', 'MarieHeinekenplein', 'DePijp', 'RoelofHartplein', 'GerritvdVeenstraat', 'Beethovenstraat', 'Minervaplein', 'Olympiaplein', 'Olympiaweg', 'OlympischStadion', 'IJsbaanpad', 'Amstelveenseweg', 'VUMedischCentrum', 'DeBoelelaanVU']"
958319ee-7b9b-11e9-b703-7831c1d08f6a,08:58:00,2019-01-01,08:20:00,tram24,"['DeBoelelaanVU', 'VUMedischCentrum', 'Amstelveenseweg', 'IJsbaanpad', 'OlympischStadion', 'Olympiaweg', 'Olympiaplein', 'Minervaplein', 'Beethovenstraat', 'GerritvdVeenstraat', 'RoelofHartplein', 'DePijp', 'MarieHeinekenplein', 'Vijzelgracht', 'Muntplein', 'Rokin', 'Dam', 'CentraalStation']"
958a52b8-7b9b-11e9-9777-7831c1d08f6a,08:41:06,2019-01-01,08:23:06,metro52,"['Zuid', 'Europaplein', 'DePijp', 'Vijzelgracht', 'Rokin', 'CentraalStation', 'Noorderpark', 'Noord']"
