stations,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
"('Beethovenstraat', 'Station Holendrecht')",,,,,,,,,,
"('Beethovenstraat', 'Station RAI')",,,,,,,,,,
"('Beethovenstraat', 'Station Sloterdijk')",,,,,,,,,,
"('Beethovenstraat', 'Strandvliet')",,,,,,,,,,
"('Beethovenstraat', 'Van Baerlestraat')",,,,,,,,,,
"('Beethovenstraat', 'Van der Madeweg')",,,,,,,,,,
"('Beethovenstraat', 'Venserpolder')",,,,,,,,,,
"('Beethovenstraat', 'Verrijn Stuartweg')",,,,,,,,,,
"('Beethovenstraat', 'Victorieplein')",,,,,,,,,,
"('Beethovenstraat', 'Vijzelgracht')",,,,,,,,,,
"('Beethovenstraat', 'VU medisch centrum')",,,,,,,,,,
"('Beethovenstraat', 'Waalstraat')",,,,,,,,,,
"('Beethovenstraat', 'Waterlooplein')",,,,,,,,,,
"('Beethovenstraat', 'Weesperplein')",,,,,,,,,,
"('Beethovenstraat', 'Wibautstraat')",,,,,,,,,,
"('Beethovenstraat', 'Station Zuid')",,,,,,,,,,
"('Beethovenstraat', 'Station Lelylaan')",,,,,,,,,,
"('Bullewijk', 'Burg.de Vlugtlaan')",,,,,,,,,,
"('Bullewijk', 'Centraal Station')",,,,,,,,,,
"('Bullewijk', 'Cornelis Troostplein')",,,,,,,,,,
"('Bullewijk', 'Dam')",,,,,,,,,,
"('Bullewijk', 'De Boelelaan/VU')",,,,,,,,,,
"('Bullewijk', 'De Pijp')",,,,,,,,,,
"('Bullewijk', 'Europaplein')",,,,,,,,,,
"('Bullewijk', 'Gaasperplas')",,,,,,,,,,
"('Bullewijk', 'Gein')",,,,,,,,,,
"('Bullewijk', 'Gerrit v.d. Veenstraat')",,,,,,,,,,
"('Bullewijk', 'Heemstedestraat')",,,,,,,,,,
"('Bullewijk', 'Henk Sneevlietweg')",,,,,,,,,,
"('Bullewijk', 'IJsbaanpad')",,,,,,,,,,
"('Bullewijk', 'Isolatorweg')",,,,,,,,,,
"('Bullewijk', 'Jan v.Galenstraat')",,,,,,,,,,
"('Bullewijk', 'Keizersgracht')",,,,,,,,,,
"('Bullewijk', 'Koningsplein')",,,,,,,,,,
"('Bullewijk', 'Kraaienneststation')",,,,,,,,,,
"('Bullewijk', 'Leidseplein')",,,,,,,,,,
"('Bullewijk', 'Maasstraat')",,,,,,,,,,
"('Bullewijk', 'Marie Heinekenplein')",,,,,,,,,,
"('Bullewijk', 'Minervaplein')",,,,,,,,,,
"('Bullewijk', 'Muntplein')",,,,,,,,,,
"('Bullewijk', 'Museumplein')",,,,,,,,,,
"('Bullewijk', 'Nieuwezijds Kolk')",,,,,,,,,,
"('Bullewijk', 'Nieuwmarkt')",,,,,,,,,,
